epoch,train_loss
1,0.0944545539571856
2,0.06918257083335932
3,0.06831172651128613
4,0.06725348744296679
5,0.06504986315530582
6,0.06405247822675826
7,0.06491499002615031
8,0.06352934982274136
9,0.06280306203250033
10,0.06276345843054952
11,0.06213881356818397
12,0.06180657967109315
13,0.06131610180502826
14,0.06033416212040142
15,0.05992598198082325
16,0.05996398932307306
17,0.05903668645905317
18,0.059360935155601396
19,0.059074047177921245
20,0.05924522218695522
21,0.05844197841021266
22,0.05873860456865199
23,0.057003947532307496
24,0.05666543544698371
25,0.05691860012546943
26,0.05659937437107093
27,0.05663139590599241
28,0.05622073923693086
29,0.05625999928282125
30,0.05659819881085062
31,0.056105401163009834
32,0.05563664800711792
33,0.05526171522690867
34,0.05509550481980299
35,0.05550072022652539
36,0.05532373558648311
37,0.05512857151618839
38,0.054564031656749924
39,0.05533965278661599
40,0.0548701195223053
41,0.054549180542248006
42,0.05445432978389907
43,0.05430504221496356
44,0.05436788311731206
45,0.05462254987635316
46,0.05451245415602287
47,0.05405031789067018
48,0.054217179761315785
49,0.054076582859576186
50,0.05361917367490539
51,0.053772807991417655
52,0.05397543878070194
53,0.0537290929334007
54,0.053608191940579974
55,0.05381784104082706
56,0.05377269075354085
57,0.05355618430478294
58,0.054020484175233946
59,0.05372278347448276
60,0.053981924144020914
61,0.05381517545965901
62,0.05367732224782018
63,0.05386726036123986
64,0.054005713168069396
65,0.053724880772132944
66,0.05379289931135021
67,0.05395584690799243
68,0.05362065904603822
69,0.05375938192281845
70,0.05394973270051236
71,0.053763534370673834
72,0.05401835413853617
73,0.05352580673775099
74,0.05298863975399167
75,0.0534103619628144
76,0.05342537660940285
77,0.05357910273936543
78,0.053598335570227494
79,0.05406273901462555
80,0.05342682933665975
81,0.05298487562006408
82,0.05392064616410402
83,0.05353352188193885
84,0.05403130867239768
85,0.05368383398728214
86,0.0534574763482287
87,0.05364798356092324
88,0.05356384880405708
89,0.05380473653004117
90,0.053231166906817985
91,0.053671911399621165
92,0.05349291765885632
93,0.053723572338693334
94,0.053232835564952695
95,0.0533108187526682
96,0.05360311007358297
97,0.053711738750121016
98,0.05351614262772738
99,0.05354589570558419
100,0.053764382268499285
