epoch,train_loss,val_uciqe,val_uiqm,lr
1,0.0944545539571856,5.849189758300781,0.6287277332742465,0.0005
2,0.06918257083335932,5.889427661895752,0.5644426026808217,0.0005
3,0.06831172651128613,5.961076259613037,0.6460551932854018,0.0005
4,0.06725348744296679,6.185121059417725,0.6301367135746413,0.0005
5,0.06504986315530582,5.9670257568359375,0.6816010859103998,0.0005
6,0.06405247822675826,5.896677494049072,0.5818685688286833,0.0005
7,0.06491499002615031,6.0882792472839355,0.659515310750545,0.0005
8,0.06352934982274136,5.539806365966797,0.6508517623880763,0.0005
9,0.06280306203250033,6.014867305755615,0.6303556065793697,0.0005
10,0.06276345843054952,6.103272438049316,0.6283666512954671,0.0005
11,0.06213881356818397,5.7789201736450195,0.6281068766193834,0.0005
12,0.06180657967109315,6.093805313110352,0.6146878255192593,0.0005
13,0.06131610180502826,5.432939052581787,0.6247472561678803,0.00025
14,0.06033416212040142,5.864346981048584,0.6221182870886867,0.00025
15,0.05992598198082325,5.879846572875977,0.6117376461226445,0.00025
16,0.05996398932307306,5.821118354797363,0.623485908695655,0.00025
17,0.05903668645905317,5.5759782791137695,0.5870533956870165,0.00025
18,0.059360935155601396,6.133664131164551,0.6013540370515821,0.00025
19,0.059074047177921245,5.804625988006592,0.5997605517452013,0.00025
20,0.05924522218695522,5.607089042663574,0.5853607950463157,0.00025
21,0.05844197841021266,5.759882926940918,0.6127773660396051,0.00025
22,0.05873860456865199,6.059000492095947,0.6489341926106234,0.000125
23,0.057003947532307496,5.695774555206299,0.5950957273946537,0.000125
24,0.05666543544698371,5.767892837524414,0.6011224103213298,0.000125
25,0.05691860012546943,5.865096092224121,0.6215478169635424,0.000125
26,0.05659937437107093,5.6250786781311035,0.6100629671539114,0.000125
27,0.05663139590599241,5.6021504402160645,0.5893154528900932,0.000125
28,0.05622073923693086,5.725297451019287,0.5949607293411899,0.000125
29,0.05625999928282125,5.665078639984131,0.620236898422516,0.000125
30,0.05659819881085062,5.708903789520264,0.6056865537208106,0.000125
31,0.056105401163009834,5.504341125488281,0.5986642716245933,6.25e-05
32,0.05563664800711792,5.640288352966309,0.6085675939490167,6.25e-05
33,0.05526171522690867,5.872771739959717,0.6229550118734385,6.25e-05
