Parameter,Value,Project Source
Image Size,256 x 256,config.py
Batch Size,8,config.py
Epochs,100,config.py
Learning Rate,0.0005,config.py
Save Every,10,config.py
Loss Weights,"L1=0.6, Edge=0.3, Color=0.1",config.py / training/train.py
Model Architecture,CNN encoder-decoder with MobileViT bottleneck,models/cnn_model.py
Framework,PyTorch,requirements / training/train.py
Hardware Support,CUDA-enabled GPU if available,training/train.py
