epoch,train_loss
1,0.0853452523791693
2,0.05999163089971232
3,0.055948583136607964
4,0.05610065717946708
5,0.05381443487798295
6,0.053255707722126955
7,0.05198917893798855
8,0.05201606784106755
9,0.05092004379181842
10,0.050954694216086616
11,0.04984338283235949
12,0.04952917775002921
13,0.04923301655041978
14,0.048863479549564964
15,0.04831975696956724
16,0.047722291504222206
17,0.047093661274851824
18,0.04685520953158053
19,0.04718562224652709
20,0.046834572044208767
21,0.04681205040797955
22,0.04558031919707612
23,0.04600659944117069
24,0.045997868208744665
25,0.04533393664391545
26,0.04485461053748926
27,0.04463536617898844
28,0.04504202233582008
29,0.04502991941280481
30,0.04456797061957479
31,0.044453830571799746
32,0.044668651784096305
33,0.043508382211250016
34,0.04371248256808859
35,0.04352792973319689
36,0.0433236348813748
37,0.04373129655614617
38,0.043137905740641
39,0.04327209752689048
40,0.043263187662251595
41,0.04244337762456115
42,0.0426041393472654
43,0.04254911717300008
44,0.04218893581471307
45,0.042175489197659295
46,0.04229013040298369
47,0.04207765884939733
48,0.042104456157279695
49,0.04197215956703919
50,0.042287425191058374
51,0.04175170147564353
52,0.04239951564771373
53,0.04117974077116668
54,0.04137775161099143
55,0.04121405030865737
56,0.04095510755309729
57,0.041120106763229136
58,0.040925231557793734
59,0.041107785221704135
60,0.040880287505262264
61,0.04077405022169516
62,0.040650207791628874
63,0.040728557097718
64,0.04049850164390192
65,0.040283492554312315
66,0.04021320151301419
67,0.04031075833259317
68,0.04058120748770189
69,0.04021760850872209
70,0.04031417863367776
71,0.03980419865801809
72,0.04037201616579924
73,0.039960836363214305
74,0.04021108486666912
75,0.040125870244289805
76,0.039832112924536554
77,0.0397434734353205
78,0.040123383188998794
79,0.0399377391242036
80,0.03958558639496323
81,0.03981104357607239
82,0.03971597758250508
83,0.039625055444373836
84,0.039563152159193184
85,0.03957966929377337
86,0.03918551116788048
87,0.039247835176141284
88,0.03933922155207493
89,0.03932372936448915
90,0.03916834053257859
91,0.03937988347426905
92,0.038799210300108765
93,0.039248117260877194
94,0.03939205763210368
95,0.038928707614843926
96,0.03923381870324776
97,0.03924342707496106
98,0.03912825021529343
99,0.038986839573618357
100,0.039007627465800054
