epoch,val_ssim
1,0.579218864440918
2,0.640575647354126
3,0.6507049202919006
4,0.6659433841705322
5,0.6847275495529175
6,0.6857709884643555
7,0.6947205066680908
8,0.7026890516281128
9,0.7088474035263062
10,0.7160801291465759
11,0.7257646918296814
12,0.7255922555923462
13,0.74068683385849
14,0.744277834892273
15,0.7477240562438965
16,0.7543591260910034
17,0.7578979730606079
18,0.760067880153656
19,0.760114312171936
20,0.7645428776741028
21,0.7701669335365295
22,0.7737636566162109
23,0.7729177474975586
24,0.7716554999351501
25,0.7835560441017151
26,0.7851152420043945
27,0.7864805459976196
28,0.785028874874115
29,0.7837129831314087
30,0.7942168116569519
31,0.7878542542457581
32,0.7981570959091187
33,0.794090211391449
34,0.8004950881004333
35,0.801035463809967
36,0.804512083530426
37,0.8047777414321899
38,0.8070307970046997
39,0.8065583109855652
40,0.8106483817100525
41,0.8090709447860718
42,0.8074827790260315
43,0.8125386238098145
44,0.8165680170059204
45,0.8150816559791565
46,0.8083652853965759
47,0.817021906375885
48,0.8154959082603455
49,0.8209616541862488
50,0.8176720142364502
51,0.8222663402557373
52,0.8226069211959839
53,0.8236344456672668
54,0.8192074298858643
55,0.8284955620765686
56,0.8284616470336914
57,0.8297306895256042
58,0.8240656852722168
59,0.8327820897102356
60,0.828697144985199
61,0.8302254676818848
62,0.8349127769470215
63,0.8324295282363892
64,0.832668125629425
65,0.835337221622467
66,0.8374789357185364
67,0.8371235132217407
68,0.8393258452415466
69,0.8373918533325195
70,0.8381478786468506
71,0.8408800959587097
72,0.8362719416618347
73,0.8420872688293457
74,0.8396101593971252
75,0.8433669209480286
76,0.8414026498794556
77,0.8423655033111572
78,0.8431218862533569
79,0.8424475193023682
80,0.8445072770118713
81,0.8413299918174744
82,0.8398407697677612
83,0.8472353219985962
84,0.847792387008667
85,0.8454524278640747
86,0.8473619818687439
87,0.8477030992507935
88,0.8493943810462952
89,0.8479827046394348
90,0.8478786945343018
91,0.8499869108200073
92,0.8510517477989197
93,0.849987268447876
94,0.8495538234710693
95,0.8508388996124268
96,0.8499932885169983
97,0.8480188250541687
98,0.8512952327728271
99,0.8499835729598999
100,0.8519830107688904
