epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.0853452523791693,0.06284050270915031,21.793504346598464,0.579218864440918
2,0.05999163089971232,0.05735660370971475,22.630242077995966,0.640575647354126
3,0.055948583136607964,0.06224097630807331,22.01666821099937,0.6507049202919006
4,0.05610065717946708,0.05588134032274995,22.836731262359137,0.6659433841705322
5,0.05381443487798295,0.05466038773634604,23.11350960866019,0.6847275495529175
6,0.053255707722126955,0.051942485251597,23.44723079412795,0.6857709884643555
7,0.05198917893798855,0.05135793544884239,23.56893277106137,0.6947205066680908
8,0.05201606784106755,0.051019182561763694,23.642473544511724,0.7026890516281128
9,0.05092004379181842,0.05107550522578614,23.68364259716482,0.7088474035263062
10,0.050954694216086616,0.05093489760266883,23.71196812725987,0.7160801291465759
11,0.04984338283235949,0.05002421899033444,23.82256638059355,0.7257646918296814
12,0.04952917775002921,0.05705749097147158,22.900853911895116,0.7255922555923462
13,0.04923301655041978,0.04827696909861905,24.171411870059906,0.74068683385849
14,0.048863479549564964,0.04904810033206429,24.08816291402167,0.744277834892273
15,0.04831975696956724,0.04862055169152362,24.16267793913949,0.7477240562438965
16,0.047722291504222206,0.047071527423603196,24.415070721757147,0.7543591260910034
17,0.047093661274851824,0.0471219572105578,24.411411088973633,0.7578979730606079
18,0.04685520953158053,0.04734752167548452,24.39246501657676,0.760067880153656
19,0.04718562224652709,0.0493720392031329,24.07028422634431,0.760114312171936
20,0.046834572044208767,0.04912058769592217,24.16723513840461,0.7645428776741028
21,0.04681205040797955,0.0471761418240411,24.48350390873231,0.7701669335365295
22,0.04558031919707612,0.04723030315446002,24.402061084100986,0.7737636566162109
23,0.04600659944117069,0.048130892882389684,24.239528718196755,0.7729177474975586
24,0.045997868208744665,0.046534428506025245,24.54240557634415,0.7716554999351501
25,0.04533393664391545,0.04482092641826187,24.895283391291674,0.7835560441017151
26,0.04485461053748926,0.045101902181548734,24.852263368180985,0.7851152420043945
27,0.04463536617898844,0.04635343501078231,24.705140106953213,0.7864805459976196
28,0.04504202233582008,0.05035708312477384,24.046832463581627,0.785028874874115
29,0.04502991941280481,0.04630033884729658,24.63824100306855,0.7837129831314087
30,0.04456797061957479,0.04499859682151249,24.922565872679087,0.7942168116569519
31,0.044453830571799746,0.04579155759087631,24.76118010260471,0.7878542542457581
32,0.044668651784096305,0.046886407770216465,24.613176456809573,0.7981570959091187
33,0.043508382211250016,0.04547622773264136,24.824896893033305,0.794090211391449
34,0.04371248256808859,0.043914065430206914,25.13496055304108,0.8004950881004333
35,0.04352792973319689,0.04398058634251356,25.098912739214764,0.801035463809967
36,0.0433236348813748,0.043946084034230025,25.10143825919687,0.804512083530426
37,0.04373129655614617,0.04395579520080771,25.140452962977665,0.8047777414321899
38,0.043137905740641,0.04337952685143266,25.207412627998067,0.8070307970046997
39,0.04327209752689048,0.044677666654544215,25.055977458250883,0.8065583109855652
40,0.043263187662251595,0.04423348445977483,25.036295293865106,0.8106483817100525
41,0.04244337762456115,0.04465197239603315,25.06790272147639,0.8090709447860718
42,0.0426041393472654,0.04348564440650599,25.223467702119972,0.8074827790260315
43,0.04254911717300008,0.04317706623779876,25.2766290490835,0.8125386238098145
44,0.04218893581471307,0.04292774759232998,25.366281877280784,0.8165680170059204
45,0.042175489197659295,0.04225210100412369,25.420490659759082,0.8150816559791565
46,0.04229013040298369,0.04752134957483837,24.58405203880664,0.8083652853965759
47,0.04207765884939733,0.04238472705973046,25.46837706176197,0.817021906375885
48,0.042104456157279695,0.04253678961790034,25.458396752317782,0.8154959082603455
49,0.04197215956703919,0.04175503984359758,25.564230666206026,0.8209616541862488
50,0.042287425191058374,0.042972578800150325,25.367912233409935,0.8176720142364502
51,0.04175170147564353,0.04136806074529886,25.68765129808631,0.8222663402557373
52,0.04239951564771373,0.04158160649240017,25.66957830913201,0.8226069211959839
53,0.04117974077116668,0.044363994151353836,25.14948932936361,0.8236344456672668
54,0.04137775161099143,0.04307505328740392,25.341661117900784,0.8192074298858643
55,0.04121405030865737,0.0416262187063694,25.66580908731294,0.8284955620765686
56,0.04095510755309729,0.04184598023337977,25.659848397020365,0.8284616470336914
57,0.041120106763229136,0.04087633652878659,25.78087002180389,0.8297306895256042
58,0.040925231557793734,0.04412049547369991,25.26570814359069,0.8240656852722168
59,0.041107785221704135,0.04143580701202154,25.690879169103304,0.8327820897102356
60,0.040880287505262264,0.0421943317300507,25.544838736628115,0.828697144985199
61,0.04077405022169516,0.042526590903954845,25.496931341744105,0.8302254676818848
62,0.040650207791628874,0.04087840932022248,25.820471005035365,0.8349127769470215
63,0.040728557097718,0.04156592208892107,25.70417029866755,0.8324295282363892
64,0.04049850164390192,0.04180255492350885,25.665293102132594,0.832668125629425
65,0.040283492554312315,0.04164625704288483,25.71530656559346,0.835337221622467
66,0.04021320151301419,0.04124766488426498,25.728626467112065,0.8374789357185364
67,0.04031075833259317,0.04128118817295347,25.758291731597687,0.8371235132217407
68,0.04058120748770189,0.04178732740027564,25.658976022593645,0.8393258452415466
69,0.04021760850872209,0.04103448348385947,25.773310807468476,0.8373918533325195
70,0.04031417863367776,0.0408139319957367,25.84567954404943,0.8381478786468506
71,0.03980419865801809,0.04039468316893492,25.934119413594217,0.8408800959587097
72,0.04037201616579924,0.041805723149861605,25.648178113813056,0.8362719416618347
73,0.039960836363214305,0.04062205120655043,25.865066247071113,0.8420872688293457
74,0.04021108486666912,0.040936744904943874,25.838102347310656,0.8396101593971252
75,0.040125870244289805,0.040660178288817406,25.9101568784756,0.8433669209480286
76,0.039832112924536554,0.04147382519607033,25.71287365233936,0.8414026498794556
77,0.0397434734353205,0.04033010492899588,25.95788210700539,0.8423655033111572
78,0.040123383188998794,0.04082782978990248,25.856800294947103,0.8431218862533569
79,0.0399377391242036,0.04197553571845804,25.651626582157128,0.8424475193023682
80,0.03958558639496323,0.04078187181481293,25.905817141713737,0.8445072770118713
81,0.03981104357607239,0.04383542574942112,25.306411456371322,0.8413299918174744
82,0.03971597758250508,0.04128515427666051,25.77375725965246,0.8398407697677612
83,0.039625055444373836,0.03967521698879344,26.083854812414547,0.8472353219985962
