model,checkpoint,images_no_ref,uciqe_before,uciqe_after,uiqm_before,uiqm_after,images_paired,psnr_before,psnr_after,ssim_before,ssim_after,uciqe_improve_pct,uiqm_improve_pct,psnr_improve_pct,ssim_improve_pct
Model 1,C:\Users\ASUS\Desktop\FINAL FOLDER\clean_repo\checkpoints\model1_training_curves\model1_final.pth,130,4.826418399810791,5.797910213470459,0.5899665863492524,0.6031158948446917,218,20.732416630879356,26.15298114153711,0.8299912214279175,0.8544496297836304,20.12862816651923,2.2288225769733576,26.145357808036636,2.946827351278048
Model 2,C:\Users\ASUS\Desktop\FINAL FOLDER\clean_repo\checkpoints\model2_training_curves\model2_final.pth,130,4.826418399810791,6.039645671844482,0.5899665863492524,0.6297477350190023,218,20.732416630879356,26.591168103029332,0.8299912214279175,0.8591904044151306,25.137217109686986,6.742949435236406,28.258893192128998,3.51801105821321
Model 3,C:\Users\ASUS\Desktop\FINAL FOLDER\clean_repo\checkpoints\model_best.pth,130,4.826418399810791,6.41218900680542,0.5899665863492524,0.675689718481272,218,20.732416630879356,23.755053842234634,0.8299912214279175,0.8639482259750366,32.856053398276345,14.530167295944288,14.579280674436653,4.091248633664703
