subset,images,before_uciqe,after_uciqe,delta_uciqe,before_uiqm,after_uiqm,delta_uiqm
UCCS,300,1.9408106,3.5404985,1.5996877,0.3296662294884927,0.3961696296809123,0.06650340019241957
UIQS,3630,2.1967547,3.6950238,1.4982691,0.3604278920448662,0.42365285136018543,0.06322495931531927
UTTS/pic_A,60,3.0586476,3.5402503,0.4816027,0.5938060239876328,0.5634978814037764,-0.03030814258385652
UTTS/pic_B,60,2.360465,3.6173074,1.2568427,0.4054071428817421,0.4801454871680198,0.0747383442862777
UTTS/pic_C,60,2.1449845,3.5416663,1.3966817,0.3614394656698097,0.4425263008881192,0.08108683521830952
UTTS/pic_D,60,2.1728778,3.3403316,1.167454,0.39455981823919545,0.4624375850145255,0.06787776677533006
UTTS/pic_E,60,2.2349315,4.2650433,2.0301118,0.34170139181106124,0.4258326101755942,0.084131218364533
OVERALL,4230,2.1926188,3.6816456,1.4890271,0.36242741076235896,0.4253373832673165,0.06290997250495756
