image,before_psnr,after_psnr,before_ssim,after_ssim,before_uciqe,after_uciqe,before_uiqm,after_uiqm
100_img_.png,12.959735244595338,13.311404720420468,0.7042146,0.7140524,3.7096214,3.5655239,0.5088970397737814,0.535404798973185
10139.png,17.802381566782525,21.72738172976897,0.775492,0.8426246,3.1896303,4.379096,0.4150659793810644,0.6056630063454663
10151.png,16.4246049019929,22.078953492896897,0.79935104,0.8867093,5.0927863,7.193774,0.6258050708360452,0.8367187454020482
101_img_.png,17.80690354596144,21.01826765863562,0.93028283,0.9364815,2.6408348,2.5678577,0.6441849815164155,0.742905444711899
102_img_.png,14.364407452444038,15.539852101958013,0.7979195,0.848272,3.616318,3.2044158,0.8972610876873541,0.8339289475526309
104_img_.png,20.578223256803135,19.92862231312711,0.88374275,0.8500507,3.437475,4.4945703,0.3564776167535157,0.30734091360965804
105_img_.png,12.498845551525788,16.931086251250708,0.68231064,0.8300671,3.233389,3.9269323,0.48667537615491235,0.466965226877675
106_img_.png,16.822243951256915,16.841096075026915,0.8380936,0.8128908,5.576337,8.505608,0.4462429858615919,0.5410154847963538
107_img_.png,15.854785824079942,16.50303218373798,0.6833232,0.69224375,3.68612,3.5503619,0.455810669038755,0.4593241900820945
108_img_.png,18.188703310411974,10.027406743944983,0.9572687,0.803612,3.2933793,3.4815814,0.43273310904260964,0.3139745985226528
10909.png,17.187013962942316,14.447720344638244,0.68034226,0.6558511,5.004959,5.4647346,0.42388594691225934,0.431118674151818
10945.png,14.41372060149775,16.876084056914213,0.6903899,0.7406295,4.6963444,7.470702,0.25482856641521506,0.35105305323500063
109_img_.png,12.960368593750873,13.658147040402698,0.6602331,0.68521863,2.8354123,3.1687617,0.34853364149140975,0.3733195655170945
10_img_.png,10.214340445212276,10.791289704042658,0.47633183,0.4858928,2.836815,2.3342485,0.4007697927306002,0.32762350625290354
11052.png,17.775842595382287,16.95982732961984,0.78305125,0.71875864,8.306132,9.553773,0.6290320777984116,0.7900195414701155
11064.png,16.92117411036447,17.22690592433086,0.81754494,0.7054314,11.02931,13.801146,0.6578761680463208,0.8087745482966826
