epoch,train_loss,val_uciqe,val_uiqm,lr
1,0.08826407637909381,5.582504749298096,0.5928381908723394,0.0005
2,0.06890076158201172,6.412170886993408,0.6756946708454741,0.0005
3,0.06719250585475978,5.829830169677734,0.6157802863942852,0.0005
4,0.06588113771574776,6.186685085296631,0.6281617892296448,0.0005
5,0.06549898834124099,6.155632495880127,0.612456365321332,0.0005
6,0.06397426243953026,6.121911525726318,0.5981098393753996,0.0005
7,0.06331479539890794,5.66705322265625,0.5640675787070897,0.0005
8,0.06307954187538937,5.596117973327637,0.6243169900579041,0.0005
9,0.06380648580617714,5.737362861633301,0.6063192083794621,0.0005
10,0.06280692937328433,5.958868026733398,0.60476287243632,0.0005
11,0.06154629824696666,6.173130989074707,0.5828771018821038,0.00025
12,0.06106942538579885,6.148096084594727,0.6077285446721573,0.00025
13,0.06021549362335762,6.086298942565918,0.6031414839249807,0.00025
14,0.06021657779160207,5.997259616851807,0.6190452952523058,0.00025
15,0.060081121885645995,5.8261189460754395,0.6027349460658725,0.00025
16,0.060668759768570425,5.886871814727783,0.6175173614006139,0.00025
17,0.05949945028626571,5.793118953704834,0.5972476775196539,0.00025
18,0.059436700503974066,5.839944362640381,0.606470085317427,0.00025
19,0.05929039333042872,5.817255020141602,0.6096037709429045,0.00025
20,0.05891550698038871,5.726714134216309,0.5994648538286301,0.000125
21,0.05829224228369494,5.925671100616455,0.630496804613431,0.000125
22,0.05767327318661404,5.670393943786621,0.610398909028827,0.000125
23,0.058028657125295514,5.966583251953125,0.64046805822567,0.000125
24,0.05733586983741635,5.891526222229004,0.6260801529208223,0.000125
25,0.057571466210005924,5.753365993499756,0.6151452751093186,0.000125
26,0.057467762244878894,6.064640998840332,0.6188361769448746,0.000125
27,0.057535739941862375,5.9949846267700195,0.6149585971694723,0.000125
28,0.05690035901039186,5.966182231903076,0.6185511680278836,0.000125
29,0.056901294330175774,5.989033222198486,0.6190404785951468,6.25e-05
30,0.056127578999004224,5.73153829574585,0.6023548427583141,6.25e-05
31,0.055919844031768993,5.796345233917236,0.5969067577806367,6.25e-05
32,0.05603531852745227,5.781923770904541,0.6248047921621293,6.25e-05
33,0.05548829351463457,6.061750888824463,0.6378911734383039,6.25e-05
34,0.056228533060881346,5.845744609832764,0.6127898659351414,6.25e-05
35,0.05621926770647512,5.7524614334106445,0.6126252287605879,6.25e-05
36,0.05596791922937344,5.92272424697876,0.6225091122765295,6.25e-05
37,0.056164958385111645,5.873051643371582,0.6149625021675218,6.25e-05
38,0.05615057418272443,5.844996929168701,0.6132090821008507,3.125e-05
39,0.05564767585890572,5.7580060958862305,0.5949177318817968,3.125e-05
40,0.054919399837725355,5.774364471435547,0.6049602725832166,3.125e-05
41,0.05515287460310616,5.924142837524414,0.6106044428572113,3.125e-05
42,0.05533300417672544,5.7982048988342285,0.6083183705476501,3.125e-05
43,0.055178597283950685,5.926476955413818,0.6169062073810713,3.125e-05
