epoch,val_ssim
1,0.5405441522598267
2,0.604110598564148
3,0.6358858346939087
4,0.6663546562194824
5,0.6854453682899475
6,0.7076148390769958
7,0.7078667283058167
8,0.7322567105293274
9,0.7207747101783752
10,0.7569854259490967
11,0.7588098645210266
12,0.7686690092086792
13,0.7726515531539917
14,0.7729089260101318
15,0.7760474681854248
16,0.7823178172111511
17,0.7829364538192749
18,0.7922568917274475
19,0.7914524078369141
20,0.7950229644775391
21,0.7954341173171997
22,0.789394199848175
23,0.8010476231575012
24,0.8022620677947998
25,0.8020046353340149
26,0.8101940751075745
27,0.8071030378341675
28,0.8118955492973328
29,0.8155375719070435
30,0.8144887089729309
31,0.8166089057922363
32,0.8094117045402527
33,0.8089736700057983
34,0.8147211074829102
35,0.8113808631896973
36,0.8182195425033569
37,0.8147386312484741
38,0.8211696743965149
39,0.8293522596359253
40,0.830522894859314
41,0.8228541612625122
42,0.828463613986969
43,0.8329709768295288
44,0.8322269320487976
45,0.8358833193778992
46,0.8317278027534485
47,0.8315234184265137
48,0.8319724798202515
49,0.8360258936882019
50,0.8376564383506775
51,0.8389723300933838
52,0.8350616097450256
53,0.8253733515739441
54,0.8383031487464905
55,0.8409261703491211
56,0.8413456678390503
57,0.8427497148513794
58,0.8439620137214661
59,0.8463753461837769
60,0.8445658683776855
61,0.84576416015625
62,0.846132218837738
63,0.8463165760040283
64,0.8475713729858398
65,0.8474764823913574
66,0.8492048978805542
67,0.8480889797210693
68,0.8501356840133667
69,0.8427231907844543
70,0.8526245951652527
71,0.8513127565383911
72,0.8523263931274414
73,0.8488174080848694
74,0.8522114157676697
75,0.8518479466438293
76,0.8475862741470337
77,0.8484601974487305
78,0.8549144864082336
79,0.8515437841415405
80,0.8542093634605408
81,0.8535888195037842
82,0.8524835109710693
83,0.8544039726257324
84,0.8504231572151184
85,0.854544460773468
86,0.8578066825866699
87,0.8556005954742432
88,0.8558996319770813
89,0.854523241519928
90,0.8565564751625061
91,0.855244517326355
92,0.8597986102104187
93,0.860011875629425
94,0.8576595783233643
95,0.8584519624710083
96,0.8542683720588684
97,0.8558464646339417
98,0.8597618341445923
99,0.8533384799957275
100,0.8574708700180054
