epoch,val_psnr
1,20.88974067632789
2,21.443775067664603
3,21.791802273724148
4,22.929465654237433
5,23.13555952611406
6,23.29232031230157
7,23.293194123951608
8,23.458485694472092
9,23.564082439830848
10,24.133614634656155
11,24.358861282363016
12,24.25743042357832
13,24.627796552814193
14,24.511439427704218
15,23.49400058969835
16,24.378512963111625
17,24.376468226367738
18,24.730875267274907
19,24.89680327072002
20,24.980725138497107
21,24.568951390686543
22,24.6205389735493
23,24.96605024166603
24,25.041120703172872
25,25.091847916982086
26,25.09111101615595
27,25.324861547065925
28,25.095749869329456
29,25.1735008646645
30,25.297696186146464
31,25.53005437718737
32,25.054219502706164
33,25.464737192705957
34,25.387050753455473
35,24.425216821771873
36,25.22804261863116
37,25.16161339115241
38,25.460470432725145
39,25.651453173358977
40,25.644315604920347
41,25.567983946607317
42,25.652424181731753
43,25.808982817440228
44,25.821059567110638
45,25.879711007114302
46,25.558914319069338
47,25.7328689768064
48,25.70194030735612
49,26.045298218612896
50,25.997564735786977
51,25.838933678133106
52,25.996367803239107
53,25.276106123617915
54,26.091118532469267
55,25.822122673773105
56,26.232030274108983
57,26.09348788803602
58,26.158370223548925
59,26.276308616729818
60,25.972428171116793
61,26.238538064907367
62,26.30495535658508
63,25.577054863498667
64,26.06142079279806
65,26.434785076935913
66,26.20939031617674
67,25.856305249193078
68,26.38859487229466
69,26.136406573545994
70,26.425856702532847
71,26.27831746593564
72,26.365474264153377
73,25.769255358713654
74,26.288212165421093
75,26.444366484728544
76,26.19414159755302
77,26.262514878983094
78,26.354946799098563
79,26.285813903576173
80,26.28855226000351
81,26.489175092679897
82,26.252187435608644
83,26.128426986370155
84,25.981666406950207
85,26.144131666709004
86,26.29541482527874
87,26.140206049606313
88,25.72808258278167
89,26.393779855318108
90,26.565507372447012
91,26.334334979449046
92,26.41085118761075
93,26.600858751825136
94,26.55433973243532
95,26.480435315871706
96,26.48472370581978
97,26.431988518913872
98,26.67777163018711
99,26.2865549515617
100,26.451499209525785
