epoch,train_loss
1,0.09272953917885698
2,0.06997387648779686
3,0.06762208747185343
4,0.06573049660499503
5,0.0643878067593749
6,0.06478345103380156
7,0.0635909351361234
8,0.06263777916508961
9,0.06282874196767807
10,0.0626620250655626
11,0.062034609507981356
12,0.06174990710446505
13,0.0623295316851236
14,0.06173625747423347
15,0.060724214961131416
16,0.06083252450557259
17,0.06037659635691623
18,0.06015369403592455
19,0.05933419189499161
20,0.059525089277848
21,0.05958769611287408
22,0.059319398524921116
23,0.058972308230472774
24,0.0591248206763975
25,0.058624947322456815
26,0.059164851979632685
27,0.05841096994898668
28,0.057038639028503646
29,0.0564839408195358
30,0.05689959871635689
31,0.0564690295122261
32,0.05641942924055142
33,0.05642935389849713
34,0.056454441472282256
35,0.055889329456580365
36,0.0561400376472289
37,0.055280389249082504
38,0.05552009700577918
39,0.055503236463035996
40,0.05570505880485705
41,0.05558022278232303
42,0.055158880879966225
43,0.055678043665924694
44,0.055418302130892994
45,0.055094275896142166
46,0.0551225403702356
47,0.05512109223177763
48,0.05472293667252955
49,0.054803345503845836
50,0.053873087983669306
51,0.05414837435251329
52,0.0537610976252614
53,0.05375123834161739
54,0.053571774192699574
55,0.05388846348335103
56,0.053567861774709166
57,0.05348951746596069
58,0.0536879663454081
59,0.05323404905090972
60,0.05288264132672694
61,0.052839218918991286
62,0.053041647801675446
63,0.05275948017048157
64,0.05231090509370575
65,0.052499247306003805
66,0.05231341294096253
67,0.05225012218201063
68,0.05209409401608192
69,0.052196835826446374
70,0.05218807848670134
71,0.05224268747175612
72,0.05200980867191059
73,0.052302926703076055
74,0.05201463999484128
75,0.051722290600097275
76,0.05210220206498615
77,0.05179207579694628
78,0.05195955898824746
79,0.0519839509322149
80,0.05188571837374834
81,0.05167991474149673
82,0.05154655934349308
83,0.051556548603424214
84,0.05144541840848884
85,0.05158594550519455
86,0.05152123530463475
87,0.05141582202196606
88,0.05179189749788947
89,0.051489794217958684
90,0.05144745752033664
91,0.05151488949976316
92,0.05132473597863341
93,0.05133723844660491
94,0.05111862110292039
95,0.051268637967788105
96,0.0512154575558455
97,0.051253467646798466
98,0.051215476772891795
99,0.05124331530698431
100,0.05129091608209339
