epoch,val_psnr
1,23.295740466883142
2,24.12320670403226
3,23.817323490326416
4,24.248754202449454
5,23.841037894979237
6,24.36581779645373
7,24.52435142279366
8,24.351445039542824
9,24.287967265307355
10,25.20976723069132
11,24.934780414032698
12,24.956585179891466
13,25.234869640634322
14,25.2730392096555
15,25.441179953810597
16,24.729458491331375
17,24.615489553081172
18,25.476800966740168
19,25.052270776476643
20,25.43761570819981
21,25.14226784024519
22,24.95009793388008
23,23.936609068730874
24,24.96177471125188
25,25.110280797007444
26,24.896390226064913
27,25.235555011679736
28,25.55684905582829
29,25.69187210884637
30,25.655055243777237
31,25.513294742356717
32,25.694868688020005
33,25.757377745688746
34,25.35004889417418
35,25.396549963725136
36,25.202245301887302
37,25.607287689371812
38,25.390169289583923
39,25.41303515867094
40,25.80791901903773
41,25.069653701421934
42,25.565697864915883
43,25.668417034636093
44,25.403625978642694
45,25.22373384323204
46,25.42164061985209
47,25.758637337256648
48,25.728593064580092
49,25.6358452107537
50,25.80686722127007
51,25.702780037863413
52,25.742906769764463
53,26.010713872711467
54,25.997208104912783
55,25.940415719357546
56,25.852867701780486
57,25.627957301301723
58,25.945378117345772
59,25.94178445253733
60,25.454734292595308
61,25.515867335346954
62,25.737267316080178
63,25.953970128252497
64,25.775917146012517
65,25.92382367478784
66,25.815663757690768
67,25.974758181149788
68,26.095240879110435
69,26.02724568918239
70,26.198205131332013
71,26.029847665025738
72,25.964362332839734
73,25.784163221982563
74,26.07087816189467
75,26.167462595753236
76,26.06298621313784
77,25.85637556994459
78,25.94500091991122
79,26.116890966470958
80,26.01093182148823
81,25.89075121639252
82,26.028212259615024
83,25.97593292569256
84,26.037355591888335
85,26.112674777965935
86,26.10025586564996
87,26.05174052807197
88,26.074176985508554
89,25.987435167793446
90,26.189995100154917
91,26.202154144013768
92,26.056028565825585
93,25.908377300944224
94,26.148015001191936
95,26.313518250464792
96,26.081800181200002
97,26.149754112651387
98,26.027048974861188
99,26.129779219147544
100,26.147973826827485
